Name,Season,Team,Apps,Mins,Goals,Assists,Yel,Red,Shots per Game,Pass Success%,Aerials Won,MotM,Avg. Rating
Angel Di Maria,2011/2012,Real Madrid,33,1399,5,15,5,1,2.1,74.8,0,2,7.4
Mesut Ozil,2011/2012,Real Madrid,35,2617,4,17,5,1,0.9,87.1,0.1,4,7.37
Marco Reus,2011/2012,Borussia M_nchengladbach,32,2790,18,9,3,0,3.2,78.4,0.2,12,7.99
Andres Iniesta,2011/2012,Barcelona,27,1877,2,9,3,0,1.8,89.7,0.1,2,7.43
Francesco Totti,2011/2012,AS Roma,27,2219,8,7,7,0,3.7,78.1,0.1,2,7.34
Andrea Pirlo,2011/2012,Juventus,37,3320,3,13,6,0,2.1,86.9,0.2,6,7.88
Arturo Vidal,2011/2012,Juventus,33,2648,7,3,12,1,2.3,85.2,1.3,6,7.68
Daniele De Rossi,2011/2012,AS Roma,32,2836,4,1,9,0,0.8,87.9,0.9,3,7.31
Edin Dzeko,2011/2012,Manchester City,30,1504,14,3,1,0,3.1,68.8,1.2,3,7.02
Cesc Fabregas,2011/2012,Barcelona,28,1960,9,8,6,0,1.6,86.9,0.1,2,7.44
Cristiano Ronaldo,2010/2011,Real Madrid,34,2914,40,11,2,0,7.4,75.7,1.4,12,8.35
Lionel Messi,2010/2011,Barcelona,33,2859,31,18,3,0,4.5,86.2,0.1,20,8.75
Wayne Rooney,2010/2011,Manchester United,28,2231,11,11,5,0,3.5,76.9,0.9,3,7.38
Zlatan Ibrahimovic,2010/2011,AC Milan,29,2557,14,11,8,2,4,71.2,2.4,7,7.6
Radamel Falcao,2010/2011,,,,,,,,,,,,
Sergio Aguero,2010/2011,Atletico Madrid,32,2687,20,2,6,0,3.9,77.4,0.1,5,7.38
Luis Suarez,2010/2011,Liverpool,13,1105,4,3,2,0,4.2,73,0.2,0,7.63
Franck Ribery,2010/2011,Bayern Munich,25,1974,7,11,5,0,2.8,79.5,0.1,4,7.82
Robert Lewandowski,2010/2011,Borussia Dortmund,33,1620,8,1,4,0,2.4,64.9,0.9,0,6.76
Karim Benzema,2010/2011,Real Madrid,33,1898,15,5,1,0,2.5,81.3,0.4,1,7.12
Carlos Tevez,2010/2011,Manchester City,31,2552,20,6,6,0,3.9,82.9,0.1,9,7.58
Edinson Cavani,2010/2011,Napoli,35,2924,26,6,4,1,3.6,73,0.5,5,7.33
Gareth Bale,2010/2011,Tottenham,30,2459,7,1,1,0,2.1,74.3,1.1,3,7.38
Angel Di Maria,2010/2011,Real Madrid,35,2346,6,11,6,0,2.1,75.8,0,4,7.49
Mesut Ozil,2010/2011,Real Madrid,36,2590,6,17,2,0,1.1,85.4,0.1,1,7.44
Marco Reus,2010/2011,Borussia M_nchengladbach,32,2862,10,8,9,0,2.5,74.1,0.4,4,7.35
Andres Iniesta,2010/2011,Barcelona,34,2810,8,3,1,0,1.3,89.6,0.1,2,7.72
Francesco Totti,2010/2011,AS Roma,32,2445,15,8,6,1,3.4,72.4,0.1,5,7.36
Andrea Pirlo,2010/2011,AC Milan,17,1141,1,3,3,0,0.8,86.4,0.1,1,7.06
Arturo Vidal,2010/2011,Bayer Leverkusen,33,2719,10,11,4,1,1.6,83.6,0.8,10,7.76
Daniele De Rossi,2010/2011,AS Roma,28,2429,2,3,7,2,1.4,83.4,0.8,1,7.1
Edin Dzeko,2010/2011,Wolfsburg/Manchester City,32,2367,12,3,4,0,5.7,132.8,2.9,1,6.87
Cesc Fabregas,2010/2011,Arsenal,25,1895,3,11,5,0,2.8,80.5,0.2,2,7.55
