Season,Player,Team,Apps,Mins,Goals,Assists,Yel,Red,Shots per Game,Pass Success%,Aerials Won,MotM,Avg. Rating
2012/2013,Edinson Cavani,Napoli,34,2982,29,2,8,0,4.6,78.2,0.9,8,7.7
2011/2012,Edinson Cavani,Napoli,35,2921,23,3,4,0,3.5,72.4,0.4,1,7.17
2010/2011,Edinson Cavani,Napoli,35,2924,26,6,4,1,3.6,73,0.5,5,7.33
,,,,,,,,,,,,,
2014/2015,Gareth Bale,Real Madrid,10,864,6,3,0,0,3.5,80.7,0.5,0,7.75
2013/2014,Gareth Bale,Real Madrid,27,2080,15,12,3,0,3.3,76.3,1.1,4,7.75
2012/2013,Gareth Bale,Tottenham,33,2928,21,4,6,0,5,78.6,1.7,11,7.92
2011/2012,Gareth Bale,Tottenham,36,3218,9,10,3,0,3.8,82.5,1,8,7.66
2010/2011,Gareth Bale,Tottenham,30,2459,7,1,1,0,2.1,74.3,1.1,3,7.38
,,,,,,,,,,,,,
2014/2015,Angel Di Maria,Manchester United,11,839,3,6,0,0,3,79.9,0,1,7.45
2013/2014,Angel Di Maria,Real Madrid,34,2402,4,17,6,0,1.9,82.1,0,2,7.46
2012/2013,Angel Di Maria,Real Madrid,32,1999,7,6,3,1,1.9,71.9,0,1,6.92
2011/2012,Angel Di Maria,Real Madrid,33,1399,5,15,5,1,2.1,74.8,0,2,7.4
2010/2011,Angel Di Maria,Real Madrid,35,2346,6,11,6,0,2.1,75.8,0,4,7.49
,,,,,,,,,,,,,
2014/2015,Mesut Ozil,Arsenal,6,540,1,1,0,0,1.2,88.1,0,0,7.26
2013/2014,Mesut Ozil,Arsenal,26,2159,5,9,0,0,1.2,88,0.2,4,7.28
2012/2013,Mesut Ozil,Real Madrid,32,2052,9,13,5,0,0.9,84.1,0.2,1,7.39
2011/2012,Mesut Ozil,Real Madrid,35,2617,4,17,5,1,0.9,87.1,0.1,4,7.37
2010/2011,Mesut Ozil,Real Madrid,36,2590,6,17,2,0,1.1,85.4,0.1,1,7.44
,,,,,,,,,,,,,
2014/2015,Marco Reus,Borussia Dortmund,7,590,3,2,1,0,4.1,79.1,0.9,2,7.76
2013/2014,Marco Reus,Borussia Dortmund,30,2234,16,13,6,0,3.7,74.7,0.9,5,7.91
2012/2013,Marco Reus,Borussia Dortmund,32,2368,14,9,4,0,2.7,76.7,0.9,7,7.61
2011/2012,Marco Reus,Borussia M_nchengladbach,32,2790,18,9,3,0,3.2,78.4,0.2,12,7.99
2010/2011,Marco Reus,Borussia M_nchengladbach,32,2862,10,8,9,0,2.5,74.1,0.4,4,7.35
,,,,,,,,,,,,,
2014/2015,Andres Iniesta,Barcelona,7,507,0,0,2,0,1,92.2,0,0,6.98
